Name,Description,Data Type,Range of Values,Percent of Missing Data
championName,Name of champion that the player played,Nominal,"['Mel', 'Corki', 'Varus', 'Gwen', 'Akshan', 'Lux', 'Kalista', 'Ambessa', 'Chogath', 'Vi', 'Pantheon', 'Ornn', 'Galio', 'MonkeyKing', 'Nami', 'Cassiopeia', 'XinZhao', 'Nautilus', 'Seraphine', 'Akali', 'JarvanIV', 'Elise', 'Hwei', 'MissFortune', 'Viktor', 'Yone', 'Azir', 'Ezreal', 'Lucian', 'Vladimir', 'Jayce', 'Aurora', 'Karthus', 'Nidalee', 'Viego', 'Sion', 'Irelia', 'Smolder', 'Riven', 'Kindred', 'Poppy', 'Urgot', 'Maokai', 'Jax', 'Darius', 'Soraka', 'Nilah', 'Zilean', 'Ahri', 'Zoe', 'Rengar', 'Malphite', 'Xerath', 'Sylas', 'Renata', 'Garen', 'Shaco', 'Jhin', 'KSante', 'Sett', 'Camille', 'LeeSin', 'Karma', 'Alistar', 'Skarner', 'Aatrox', 'Rell', 'Kaisa', 'Nunu', 'Neeko', 'Zac', 'Volibear', 'Hecarim', 'Syndra', 'Vayne', 'Fiora', 'Shen', 'Gragas', 'Lulu', 'Caitlyn', 'Gangplank', 'Ivern', 'AurelionSol', 'Yasuo', 'Talon', 'Zyra', 'MasterYi', 'Ashe', 'Rakan', 'Yuumi', 'Aphelios', 'Diana', 'Lillia', 'Anivia', 'Rumble', 'Senna', 'KogMaw', 'Tristana', 'Kayn', 'Graves', 'Sona', 'Warwick', 'Renekton', 'RekSai', 'Trundle', 'Ziggs', 'Orianna', 'Braum', 'Gnar', 'Taliyah', 'Khazix', 'Bard', 'Pyke', 'DrMundo', 'Velkoz', 'Ryze', 'Lissandra', 'Draven', 'Kassadin', 'Thresh', 'Tryndamere', 'Kennen', 'Morgana', 'Katarina', 'Evelynn', 'Brand', 'Qiyana', 'Nocturne', 'Jinx', 'Belveth', 'Leona', 'Veigar', 'Olaf', 'Zeri', 'Briar', 'TahmKench', 'Ekko', 'Swain', 'Blitzcrank', 'Kled', 'FiddleSticks', 'Amumu', 'Udyr', 'Taric', 'Teemo', 'Malzahar', 'Sivir', 'Xayah', 'Janna', 'Zed', 'Rammus', 'Kayle', 'Leblanc', 'Naafiri', 'Samira', 'Fizz', 'Mordekaiser', 'TwistedFate', 'Heimerdinger', 'Twitch', 'Singed', 'Vex', 'Quinn', 'Milio', 'Yorick', 'Sejuani', 'Shyvana', 'Annie', 'Nasus']",0
champExperience,Amount of experience that player had,Ratio,"(0, 33812)",0
champLevel,The level that the player ended the game with,Ratio,"(1, 18)",0
championTransform,"This field is currently only utilized for Kayn's transformations. (Legal values: 0 - None, 1 - Slayer, 2 - Assassin)",Ratio,"(0, 2)",0
primary_style,Primary rune style,Nominal,"['Sorcery', 'Precision', 'Resolve', 'Domination', 'Inspiration']",0
secondary_style,Secondary run style,Nominal,"['Precision', 'Inspiration', 'Domination', 'Resolve', 'Sorcery', '0']",0
primary_keystone,Primary keystone that the player took for their runes,Nominal,"['Arcane Comet', 'Conqueror', 'Lethal Tempo', 'Press the Attack', 'Grasp of the Undying', 'Aftershock', 'Summon Aery', 'Electrocute', 'Fleet Footwork', 'Hail of Blades', 'First Strike', 'Guardian', 'Phase Rush', 'Dark Harvest', 'Glacial Augment', 'Unsealed Spellbook']",0
primary_perk_1,Primary perk 1 that was taken,Nominal,"['Manaflow Band', 'Presence of Mind', 'Absorb Life', 'Triumph', 'Demolish', 'Shield Bash', 'Sudden Impact', 'Taste of Blood', 'Nimbus Cloak', 'Cash Back', 'Font of Life', 'Axiom Arcanist', 'Cheap Shot', 'Magical Footwear', 'Hextech Flashtraption']",0
primary_perk_2,Primary perk 2 that was taken,Nominal,"['Transcendence', 'Legend: Alacrity', 'Legend: Haste', 'Conditioning', 'Bone Plating', 'Grisly Mementos', 'Second Wind', 'Legend: Bloodline', 'Deep Ward', 'Sixth Sense', 'Triple Tonic', 'Absolute Focus', 'Celerity', 'Biscuit Delivery', 'Time Warp Tonic']",0
primary_perk_3,Primary perk 3 that was taken,Nominal,"['Scorch', 'Cut Down', 'Last Stand', 'Coup de Grace', 'Overgrowth', 'Gathering Storm', 'Ultimate Hunter', 'Relentless Hunter', 'Treasure Hunter', 'Cosmic Insight', 'Revitalize', 'Waterwalking', 'Unflinching', 'Approach Velocity', 'Jack Of All Trades']",0
