Feature,Importance
championName_Briar,0.0
championName_Caitlyn,0.0
championName_Camille,0.0
championName_Cassiopeia,0.0
championName_Chogath,0.0
championName_Corki,0.0
championName_Darius,0.0
championName_Diana,0.0
championName_DrMundo,0.0
championName_Draven,0.0
championName_Ekko,0.0
championName_Elise,0.0
championName_Evelynn,0.0
championName_Ezreal,0.0
championName_FiddleSticks,0.0
championName_Fiora,0.0
championName_Fizz,0.0
championName_Galio,0.0
championName_Gangplank,0.0
championName_Garen,0.0
championName_Gnar,0.0
championName_Gragas,0.0
championName_Graves,0.0
championName_Gwen,0.0
championName_Hecarim,0.0
championName_Heimerdinger,0.0
championName_Hwei,0.0
championName_Irelia,0.0
championName_Ivern,0.0
championName_Janna,0.0
championName_JarvanIV,0.0
championName_Jax,0.0
championName_Jayce,0.0
championName_Jhin,0.0
championName_Jinx,0.0
championName_KSante,0.0
championName_Kaisa,0.0
championName_Kalista,0.0
championName_Karma,0.0
championName_Karthus,0.0
championName_Kassadin,0.0
championName_Katarina,0.0
championName_Kayle,0.0
championName_Kayn,0.0
championName_Kennen,0.0
championName_Khazix,0.0
championName_Kindred,0.0
championName_Kled,0.0
championName_KogMaw,0.0
championName_Leblanc,0.0
championName_LeeSin,0.0
championName_Leona,0.0
championName_Lillia,0.0
championName_Lissandra,0.0
championName_Lucian,0.0
championName_Lulu,0.0
championName_Lux,0.0
championName_Malphite,0.0
championName_Malzahar,0.0
championName_Maokai,0.0
championName_MasterYi,0.0
championName_Mel,0.0
championName_Milio,0.0
championName_MissFortune,0.0
championName_MonkeyKing,0.0
championName_Mordekaiser,0.0
championName_Morgana,0.0
championName_Naafiri,0.0
championName_Nami,0.0
championName_Nasus,0.0
championName_Nautilus,0.0
championName_Neeko,0.0
championName_Nidalee,0.0
championName_Nilah,0.0
championName_Nocturne,0.0
championName_Nunu,0.0
championName_Olaf,0.0
championName_Orianna,0.0
championName_Ornn,0.0
championName_Pantheon,0.0
championName_Poppy,0.0
championName_Pyke,0.0
championName_Qiyana,0.0
championName_Quinn,0.0
championName_Rakan,0.0
championName_Rammus,0.0
championName_RekSai,0.0
championName_Rell,0.0
championName_Renekton,0.0
championName_Rengar,0.0
championName_Riven,0.0
championName_Rumble,0.0
championName_Ryze,0.0
championName_Samira,0.0
championName_Sejuani,0.0
championName_Senna,0.0
championName_Seraphine,0.0
championName_Sett,0.0
championName_Shaco,0.0
championName_Shen,0.0
championName_Shyvana,0.0
championName_Singed,0.0
championName_Sion,0.0
championName_Sivir,0.0
championName_Skarner,0.0
championName_Smolder,0.0
championName_Sona,0.0
championName_Soraka,0.0
championName_Swain,0.0
championName_Sylas,0.0
championName_Syndra,0.0
championName_TahmKench,0.0
championName_Taliyah,0.0
championName_Talon,0.0
championName_Taric,0.0
championName_Teemo,0.0
championName_Thresh,0.0
championName_Tristana,0.0
championName_Tryndamere,0.0
championName_TwistedFate,0.0
championName_Twitch,0.0
championName_Udyr,0.0
championName_Urgot,0.0
championName_Varus,0.0
championName_Vayne,0.0
championName_Veigar,0.0
championName_Velkoz,0.0
championName_Vex,0.0
championName_Vi,0.0
championName_Viego,0.0
championName_Viktor,0.0
championName_Vladimir,0.0
championName_Volibear,0.0
championName_Warwick,0.0
championName_Xayah,0.0
championName_Xerath,0.0
championName_XinZhao,0.0
championName_Yasuo,0.0
championName_Yone,0.0
championName_Yorick,0.0
championName_Zac,0.0
championName_Zed,0.0
championName_Zeri,0.0
championName_Ziggs,0.0
championName_Zilean,0.0
championName_Zoe,0.0
championName_Zyra,0.0
primary_style_Domination,0.0
primary_style_Inspiration,0.0
primary_style_Resolve,0.0
primary_style_Sorcery,0.0
secondary_style_0,0.0
secondary_style_Domination,0.0
secondary_style_Inspiration,0.0
secondary_style_Precision,0.0
secondary_style_Resolve,0.0
secondary_style_Sorcery,0.0
primary_keystone_Aftershock,0.0
primary_keystone_Arcane Comet,0.0
primary_keystone_Conqueror,0.0
primary_keystone_Dark Harvest,0.0
primary_keystone_Electrocute,0.0
primary_keystone_First Strike,0.0
primary_keystone_Fleet Footwork,0.0
primary_keystone_Glacial Augment,0.0
primary_keystone_Grasp of the Undying,0.0
primary_keystone_Guardian,0.0
primary_keystone_Hail of Blades,0.0
primary_keystone_Phase Rush,0.0
primary_keystone_Press the Attack,0.0
primary_keystone_Unsealed Spellbook,0.0
primary_perk_1_Absorb Life,0.0
primary_perk_1_Axiom Arcanist,0.0
primary_perk_1_Cash Back,0.0
primary_perk_1_Cheap Shot,0.0
primary_perk_1_Demolish,0.0
primary_perk_1_Font of Life,0.0
primary_perk_1_Hextech Flashtraption,0.0
primary_perk_1_Magical Footwear,0.0
primary_perk_1_Manaflow Band,0.0
primary_perk_1_Nimbus Cloak,0.0
primary_perk_1_Presence of Mind,0.0
primary_perk_1_Sudden Impact,0.0
primary_perk_1_Taste of Blood,0.0
primary_perk_1_Triumph,0.0
primary_perk_2_Absolute Focus,0.0
primary_perk_2_Biscuit Delivery,0.0
primary_perk_2_Bone Plating,0.0
primary_perk_2_Celerity,0.0
primary_perk_2_Conditioning,0.0
primary_perk_2_Deep Ward,0.0
primary_perk_2_Grisly Mementos,0.0
primary_perk_2_Legend: Alacrity,0.0
primary_perk_2_Legend: Bloodline,0.0
primary_perk_2_Legend: Haste,0.0
primary_perk_2_Second Wind,0.0
primary_perk_2_Sixth Sense,0.0
primary_perk_2_Transcendence,0.0
primary_perk_2_Triple Tonic,0.0
primary_perk_3_Cosmic Insight,0.0
primary_perk_3_Coup de Grace,0.0
primary_perk_3_Gathering Storm,0.0
primary_perk_3_Jack Of All Trades,0.0
primary_perk_3_Last Stand,0.0
primary_perk_3_Overgrowth,0.0
primary_perk_3_Relentless Hunter,0.0
primary_perk_3_Revitalize,0.0
primary_perk_3_Scorch,0.0
primary_perk_3_Treasure Hunter,0.0
primary_perk_3_Ultimate Hunter,0.0
primary_perk_3_Waterwalking,0.0
secondary_perk_1_Absolute Focus,0.0
secondary_perk_1_Absorb Life,0.0
secondary_perk_1_Approach Velocity,0.0
secondary_perk_1_Axiom Arcanist,0.0
secondary_perk_1_Biscuit Delivery,0.0
secondary_perk_1_Bone Plating,0.0
secondary_perk_1_Cash Back,0.0
secondary_perk_1_Celerity,0.0
secondary_perk_1_Cheap Shot,0.0
secondary_perk_1_Conditioning,0.0
secondary_perk_1_Cosmic Insight,0.0
secondary_perk_1_Coup de Grace,0.0
secondary_perk_1_Cut Down,0.0
secondary_perk_1_Demolish,0.0
secondary_perk_1_Font of Life,0.0
secondary_perk_1_Gathering Storm,0.0
secondary_perk_1_Grisly Mementos,0.0
secondary_perk_1_Hextech Flashtraption,0.0
secondary_perk_1_Jack Of All Trades,0.0
secondary_perk_1_Last Stand,0.0
secondary_perk_1_Legend: Alacrity,0.0
secondary_perk_1_Legend: Bloodline,0.0
secondary_perk_1_Legend: Haste,0.0
secondary_perk_1_Magical Footwear,0.0
secondary_perk_1_Manaflow Band,0.0
secondary_perk_1_Nimbus Cloak,0.0
secondary_perk_1_Overgrowth,0.0
secondary_perk_1_Presence of Mind,0.0
secondary_perk_1_Relentless Hunter,0.0
secondary_perk_1_Revitalize,0.0
secondary_perk_1_Scorch,0.0
secondary_perk_1_Second Wind,0.0
secondary_perk_1_Shield Bash,0.0
secondary_perk_1_Sixth Sense,0.0
secondary_perk_1_Sudden Impact,0.0
secondary_perk_1_Taste of Blood,0.0
secondary_perk_1_Transcendence,0.0
secondary_perk_1_Treasure Hunter,0.0
secondary_perk_1_Triple Tonic,0.0
secondary_perk_1_Triumph,0.0
secondary_perk_1_Ultimate Hunter,0.0
secondary_perk_1_Unflinching,0.0
secondary_perk_1_Waterwalking,0.0
secondary_perk_2_Absolute Focus,0.0
secondary_perk_2_Absorb Life,0.0
secondary_perk_2_Approach Velocity,0.0
secondary_perk_2_Axiom Arcanist,0.0
secondary_perk_2_Biscuit Delivery,0.0
secondary_perk_2_Bone Plating,0.0
secondary_perk_2_Cash Back,0.0
secondary_perk_2_Celerity,0.0
secondary_perk_2_Cheap Shot,0.0
secondary_perk_2_Conditioning,0.0
secondary_perk_2_Coup de Grace,0.0
secondary_perk_2_Cut Down,0.0
secondary_perk_2_Deep Ward,0.0
secondary_perk_2_Demolish,0.0
secondary_perk_2_Font of Life,0.0
secondary_perk_2_Gathering Storm,0.0
secondary_perk_2_Grisly Mementos,0.0
secondary_perk_2_Hextech Flashtraption,0.0
secondary_perk_2_Jack Of All Trades,0.0
secondary_perk_2_Last Stand,0.0
secondary_perk_2_Legend: Alacrity,0.0
secondary_perk_2_Legend: Haste,0.0
secondary_perk_2_Magical Footwear,0.0
secondary_perk_2_Manaflow Band,0.0
